;#10. HRI Efficiency_SN10_V1
;
;  HRI End-to-end Response V1
;  Defined with transmittance and reflectance values from files #1. #2. #3. #5 (SN10 filter)
;  Including a grid factor value of 0.81 for each filter
;  HRI Detector response included (file #8)
;
;Lambda (nm)	HRI Optical Efficiency*Detector_SN10
29.3	1.54E-04
29.4	1.50E-04
29.5	1.47E-04
29.6	1.44E-04
29.7	1.42E-04
29.8	1.38E-04
29.9	1.35E-04
30	1.33E-04
30.1	1.30E-04
30.2	1.26E-04
30.3	1.23E-04
30.4	1.21E-04
30.5	1.18E-04
30.6	1.16E-04
30.7	1.12E-04
30.8	1.09E-04
30.9	1.08E-04
31	1.08E-04
31.1	1.00E-04
31.2	9.57E-05
31.3	9.32E-05
31.4	9.03E-05
31.5	8.71E-05
31.6	8.39E-05
31.7	8.08E-05
31.8	7.94E-05
31.9	7.76E-05
32	7.46E-05
32.1	7.22E-05
32.2	6.99E-05
32.3	6.73E-05
32.4	6.53E-05
32.5	6.34E-05
32.6	6.15E-05
32.7	5.89E-05
32.8	5.70E-05
32.9	5.51E-05
33	5.33E-05
33.1	5.18E-05
33.2	5.06E-05
33.3	4.97E-05
33.4	4.85E-05
33.5	4.67E-05
33.6	3.92E-05
33.7	3.84E-05
33.8	3.75E-05
33.9	3.64E-05
34	3.54E-05
34.1	3.43E-05
34.2	3.32E-05
34.3	3.22E-05
34.4	3.14E-05
34.5	3.09E-05
34.6	3.02E-05
34.7	2.95E-05
34.8	2.86E-05
34.9	2.77E-05
35	2.71E-05
35.1	2.82E-05
35.2	2.77E-05
35.3	2.71E-05
35.4	2.66E-05
35.5	2.61E-05
35.6	2.56E-05
35.7	2.51E-05
35.8	2.43E-05
35.9	2.35E-05
36	2.28E-05
36.1	2.20E-05
36.2	2.13E-05
36.3	2.06E-05
36.4	1.99E-05
36.5	1.92E-05
36.6	1.86E-05
36.7	1.80E-05
36.8	1.75E-05
36.9	1.71E-05
37	1.69E-05
37.1	1.67E-05
37.2	1.66E-05
37.3	1.67E-05
37.4	1.67E-05
37.5	1.68E-05
37.6	1.69E-05
37.7	1.70E-05
37.8	1.70E-05
37.9	1.69E-05
38	1.68E-05
38.1	1.67E-05
38.2	1.65E-05
38.3	1.63E-05
38.4	1.61E-05
38.5	1.58E-05
38.6	1.55E-05
38.7	1.52E-05
38.8	1.49E-05
38.9	1.46E-05
39	1.43E-05
39.1	1.39E-05
39.2	1.36E-05
39.3	1.33E-05
39.4	1.30E-05
39.5	1.27E-05
39.6	1.24E-05
39.7	1.21E-05
39.8	1.18E-05
39.9	1.15E-05
40	1.03E-05
40.1	1.02E-05
40.2	1.00E-05
40.3	9.90E-06
40.4	9.81E-06
40.5	9.73E-06
40.6	9.64E-06
40.7	9.59E-06
40.8	9.55E-06
40.9	9.50E-06
41	9.52E-06
41.1	9.59E-06
41.2	9.66E-06
41.3	9.75E-06
41.4	1.23E-05
41.5	1.26E-05
41.6	1.28E-05
41.7	1.31E-05
41.8	1.35E-05
41.9	1.38E-05
42	1.41E-05
42.1	1.42E-05
42.2	1.43E-05
42.3	1.43E-05
42.4	1.44E-05
42.5	1.44E-05
42.6	1.45E-05
42.7	1.47E-05
42.8	1.48E-05
42.9	1.49E-05
43	1.50E-05
43.1	1.51E-05
43.2	1.52E-05
43.3	1.53E-05
43.4	1.54E-05
43.5	1.55E-05
43.6	1.56E-05
43.7	1.57E-05
43.8	1.58E-05
43.9	1.59E-05
44	1.59E-05
44.1	1.59E-05
44.2	1.60E-05
44.3	1.60E-05
44.4	1.59E-05
44.5	1.59E-05
44.6	1.59E-05
44.7	1.59E-05
44.8	1.60E-05
44.9	1.63E-05
45	1.66E-05
45.1	1.68E-05
45.2	1.72E-05
45.3	1.77E-05
45.4	1.80E-05
45.5	1.85E-05
45.6	1.90E-05
45.7	1.97E-05
